name,actors
The Ice Storm,"['Kevin Kline', 'Joan Allen', 'Henry Czerny', 'Adam Hann-Byrd', 'Tobey Maguire', 'Christina Ricci', 'Jamey Sheridan', 'Elijah Wood', 'Sigourney Weaver']"
Inventing the Abbotts,"['Liv Tyler', 'Joaquin Phoenix', 'Billy Crudup', 'Jennifer Connelly', 'Joanna Going', 'Will Patton', 'Kathy Baker']"
Jackie Brown,"['Pam Grier', 'Samuel L. Jackson', 'Robert Forster', 'Bridget Fonda', 'Michael Keaton', 'Robert De Niro']"
Jungle 2 Jungle,"['Tim Allen', 'Martin Short', 'Lolita Davidovich', 'David Ogden Stiers', 'JoBeth Williams']"
"Kiss Me, Guido",[]
Kull the Conqueror,"['Kevin Sorbo', 'Tia Carrere', 'Thomas Ian Griffith', 'Litefoot', 'Harvey Fierstein', 'Karina Lombard']"
Kundun,"['Tenzin Thuthob Tsarong', 'Gyurme Tethong', 'Tulku Jamyang Kunga Tenzin', 'Tenzin Yeshi Paichang']"
L.A. Confidential,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'James Cromwell', 'David Strathairn', 'Kim Basinger', 'Danny DeVito']"
The Last Time I Committed Suicide,"['Thomas Jane', 'Keanu Reeves', 'Adrien Brody', 'John Doe', 'Claire Forlani', 'Jim Haynie', 'Marg Helgenberger', 'Lucinda Jenney', 'Gretchen Mol']"
Lawn Dogs,"['Sam Rockwell', 'Christopher McDonald', 'Kathleen Quinlan', 'Mischa Barton']"
Left Luggage,[]
Liar Liar,"['Jim Carrey', 'Maura Tierney', 'Jennifer Tilly', 'Swoosie Kurtz', 'Amanda Donohoe', 'Anne Haney', 'Justin Cooper']"
The Locusts,"['Kate Capshaw', 'Jeremy Davies', 'Vince Vaughn', 'Paul Rudd', 'Daniel Meyer', 'Ashley Judd']"
The Lost World: Jurassic Park,"['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Arliss Howard']"
Love Jones,"['Larenz Tate', 'Nia Long', 'Isaiah Washington', 'Lisa Nicole Carson', 'Bill Bellamy']"
Love! Valour! Compassion!,"['Jason Alexander', 'Stephen Spinella', 'Stephen Bogardus', 'Randy Becker', 'John Benjamin Hickey', 'Justin Kirk', 'John Glover']"
Lucie Aubrac,[]
Mad City,"['Dustin Hoffman', 'John Travolta', 'Alan Alda', 'Mia Kirshner', 'Ted Levine', 'Robert Prosky', 'Blythe Danner']"
Meet Joe Black,"['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jake Weber', 'Marcia Gay Harden', 'Jeffrey Tambor']"
Midnight in the Garden of Good and Evil,"['Kevin Spacey', 'John Cusack']"
The Mighty,"['Sharon Stone', 'Gena Rowlands', 'Gillian Anderson', 'Harry Dean Stanton', 'Kieran Culkin', 'James Gandolfini', 'Elden Ratliff']"
Mimic,"['Mira Sorvino', 'Jeremy Northam', 'Josh Brolin', 'Giancarlo Giannini', 'F. Murray Abraham', 'Charles S. Dutton', 'Alexander Goodwin', 'Alix Koromzay']"
Princess Mononoke,"['Yōji Matsuda', 'Yuriko Ishida', 'Yūko Tanaka', 'Kaoru Kobayashi', 'Masahiko Nishimura', 'Tsunehiko Kamijō', 'Akihiro Miwa', 'Mitsuko Mori', 'Hisaya Morishige']"
Mortal Kombat Annihilation,"['Robin Shou', 'Talisa Soto', 'Brian Thompson', 'Sandra Hess', 'Lynn Red Williams', 'Irina Pantaeva', 'James Remar']"
Mr. Magoo,"['Leslie Nielsen', 'Kelly Lynch', 'Ernie Hudson', 'Stephen Tobolowsky', 'Nick Chinlund', 'Malcolm McDowell']"
Murder at 1600,"['Wesley Snipes', 'Diane Lane', 'Alan Alda', 'Daniel Benzali', 'Ronny Cox', 'Dennis Miller']"
Music from Another Room,[]
My Best Friend's Wedding,"['Julia Roberts', 'Dermot Mulroney', 'Cameron Diaz', 'Rupert Everett', 'Philip Bosco']"
My Son the Fanatic,"['Om Puri', 'Rachel Griffiths', 'Akbar Kurtha', 'Stellan Skarsgård']"
The Myth of Fingerprints,"['Arija Bareikis', 'Blythe Danner', 'Hope Davis', 'Laurel Holloman', 'Brian Kerwin', 'James LeGros', 'Julianne Moore', 'Roy Scheider', 'Michael Vartan', 'Noah Wyle']"
Next Stop Wonderland,"['Hope Davis', 'Alan Gelfant', 'Victor Argo', 'Jon Benjamin', 'Cara Buono', 'Larry Gilliard, Jr.', 'Philip Seymour Hoffman', 'Jason Lewis', 'Roger Rees', 'Sam Seder', 'Robert Stanton', 'Holland Taylor', 'Callie Thorne', 'Jimmy Tingle', 'Lyn Vaus', 'José Zúñiga', 'Robert Klein']"
The Night Flier,"['Miguel Ferrer', 'Julie Entwisle', 'Dan Monahan', 'Michael H. Moss']"
Four Days in September,"['Alan Arkin', 'Pedro Cardoso', 'Fernanda Torres', 'Cláudia Abreu', 'Luiz Fernando Guimarães', 'Caroline Kava', 'Fisher Stevens']"
As Good as It Gets,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.', 'Skeet Ulrich', 'Shirley Knight']"
Oscar and Lucinda,"['Ralph Fiennes', 'Cate Blanchett', 'Ciarán Hinds', 'Tom Wilkinson', 'Richard Roxburgh', 'Clive Russell', 'Bille Brown']"
Paws,"['Billy Connolly', 'Nathan Cavaleri', 'Emilie François', 'Sandy Gore', 'Heath Ledger']"
Phantoms,"[""Peter O'Toole"", 'Rose McGowan', 'Joanna Going', 'Liev Schreiber', 'Ben Affleck', 'Nicky Katt', 'Clifton Powell', 'Michael DeLorenzo']"
The Players Club,"['Bernie Mac', 'Monica Calhoun', 'A. J. Johnson', 'Ice Cube', 'Alex Thomas', 'LisaRaye', 'Jamie Foxx', 'John Amos']"
The Postman,"['Kevin Costner', 'Will Patton', 'Larenz Tate', 'Olivia Williams', 'James Russo', 'Tom Petty']"
Without Limits,"['Billy Crudup', 'Donald Sutherland', 'Monica Potter']"
Prefontaine,"['Jared Leto', 'R. Lee Ermey', ""Ed O'Neill"", 'Amy Locane', 'Lindsay Crouse', 'Breckin Meyer', 'Laurel Holloman']"
Primary Colors,"['John Travolta', 'Emma Thompson', 'Billy Bob Thornton', 'Adrian Lester', 'Maura Tierney', 'Paul Guilfoyle', 'Larry Hagman', 'Kathy Bates']"
Red Corner,"['Richard Gere', 'Bai Ling', 'Bradley Whitford']"
The Relic,"['Penelope Ann Miller', 'Tom Sizemore', 'Linda Hunt', 'James Whitmore']"
The Replacement Killers,"['Chow Yun-fat', 'Mira Sorvino', 'Michael Rooker', 'Jürgen Prochnow']"
Romy and Michele's High School Reunion,"['Mira Sorvino', 'Lisa Kudrow', 'Janeane Garofalo']"
Rosewood,"['Jon Voight', 'Ving Rhames', 'Don Cheadle', 'Bruce McGill', 'Loren Dean', 'Esther Rolle', 'Michael Rooker']"
Running Time,[]
Scream 2,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Sarah Michelle Gellar', 'Jamie Kennedy', 'Laurie Metcalf', ""Jerry O'Connell"", 'Jada Pinkett', 'Liev Schreiber']"
Rudyard Kipling's The Second Jungle Book:Mowgli & Baloo,"['Billy Campbell', 'Roddy McDowall', 'Jamie Williams', 'David Paul Francis']"
Selena,"['Jennifer Lopez', 'Edward James Olmos', 'Jon Seda', 'Constance Marie', 'Jacob Vargas', 'Lupe Ontiveros', 'Jackie Guerra']"
Shadow Conspiracy,"['Charlie Sheen', 'Donald Sutherland', 'Linda Hamilton', 'Stephen Lang', 'Ben Gazzara', 'Sam Waterston']"
Shooting Fish,"['Dan Futterman', 'Stuart Townsend', 'Kate Beckinsale', 'Nickolas Grace', 'Claire Cox', 'Ralph Ineson', 'Dominic Mafham', 'Peter Capaldi', 'Annette Crosbie', 'Jane Lapotaire', 'Phyllis Logan']"
A Simple Wish,"['Martin Short', 'Mara Wilson', 'Robert Pastorelli', 'Amanda Plummer', 'Francis Capra', 'Kathleen Turner']"
Sliding Doors,"['Gwyneth Paltrow', 'John Hannah', 'John Lynch', 'Jeanne Tripplehorn']"
Smilla's Sense of Snow,"['Julia Ormond', 'Gabriel Byrne', 'Richard Harris', 'Robert Loggia', 'Vanessa Redgrave']"
The Spanish Prisoner,"['Ben Gazzara', 'Felicity Huffman', 'Ricky Jay', 'Steve Martin', 'Rebecca Pidgeon', 'Campbell Scott']"
Speed 2: Cruise Control,"['Sandra Bullock', 'Jason Patric', 'Willem Dafoe', 'Temuera Morrison', 'Glenn Plummer']"
Spice World,"['Victoria', 'Emma', 'Mel C', 'Geri', 'Mel B', 'Richard E. Grant', 'Alan Cumming', 'George Wendt', 'Claire Rushbrook', 'Mark McKinney', 'Roger Moore']"
Sprung,"['Tisha Campbell', 'Rusty Cundieff', 'Paula Jai Parker', 'Joe Torry']"
Space Truckers,[]
Starship Troopers,"['Casper Van Dien', 'Dina Meyer', 'Denise Richards', 'Jake Busey', 'Neil Patrick Harris', 'Patrick Muldoon', 'Michael Ironside']"
Slappy and the Stinkers,"['B. D. Wong', 'Bronson Pinchot', 'Sam McMurray']"
